company_name,company_sector,peer_rank,peer_name,peer_sector,similarity_score
EICHERMOT,Unknown,3,COLPAL,Unknown,0.6724
EICHERMOT,Unknown,4,TCS,Unknown,0.6672
EICHERMOT,Unknown,5,POWERGRID,Unknown,0.6654
HEROMOTOCO,Unknown,1,ASIANPAINT,Unknown,0.9259
HEROMOTOCO,Unknown,2,MARICO,Unknown,0.9244
HEROMOTOCO,Unknown,3,COALINDIA,Unknown,0.9148
HEROMOTOCO,Unknown,4,HINDUNILVR,Unknown,0.8963
HEROMOTOCO,Unknown,5,TECHM,Unknown,0.8881
BPCL,Unknown,1,HAVELLS,Unknown,0.9899
BPCL,Unknown,2,BERGEPAINT,Unknown,0.9739
BPCL,Unknown,3,LT,Unknown,0.9279
BPCL,Unknown,4,BOSCHLTD,Unknown,0.8651
BPCL,Unknown,5,APOLLOHOSP,Unknown,0.8405
BRITANNIA,Unknown,1,MARICO,Unknown,0.9772
BRITANNIA,Unknown,2,NESTLEIND,Unknown,0.9734
BRITANNIA,Unknown,3,TCS,Unknown,0.9497
BRITANNIA,Unknown,4,PIDILITIND,Unknown,0.9143
BRITANNIA,Unknown,5,COLPAL,Unknown,0.8816
APOLLOHOSP,Unknown,1,PAYTM,Unknown,0.9523
APOLLOHOSP,Unknown,2,POLICYBZR,Unknown,0.9308
APOLLOHOSP,Unknown,3,HDFCLIFE,Unknown,0.9274
APOLLOHOSP,Unknown,4,MOTHERSON,Unknown,0.9161
APOLLOHOSP,Unknown,5,MARUTI,Unknown,0.9085
DABUR,Unknown,1,SBIN,Unknown,0.9967
DABUR,Unknown,2,BATAINDIA,Unknown,0.9935
DABUR,Unknown,3,HINDUNILVR,Unknown,0.9738
DABUR,Unknown,4,ASIANPAINT,Unknown,0.9703
DABUR,Unknown,5,TECHM,Unknown,0.9681
GODREJCP,Unknown,1,CANBK,Unknown,0.9787
GODREJCP,Unknown,2,UNIONBANK,Unknown,0.9755
GODREJCP,Unknown,3,TATACONSUM,Unknown,0.9746
GODREJCP,Unknown,4,BAJFINANCE,Unknown,0.9732
GODREJCP,Unknown,5,WIPRO,Unknown,0.9697
MARICO,Unknown,1,BRITANNIA,Unknown,0.9772
MARICO,Unknown,2,PIDILITIND,Unknown,0.97
MARICO,Unknown,3,INFY,Unknown,0.9369
MARICO,Unknown,4,TCS,Unknown,0.9299
MARICO,Unknown,5,NESTLEIND,Unknown,0.9291
PIDILITIND,Unknown,1,INFY,Unknown,0.9938
PIDILITIND,Unknown,2,MARICO,Unknown,0.97
PIDILITIND,Unknown,3,HCLTECH,Unknown,0.9421
PIDILITIND,Unknown,4,COALINDIA,Unknown,0.9374
PIDILITIND,Unknown,5,TCS,Unknown,0.9295
BERGEPAINT,Unknown,1,BPCL,Unknown,0.9739
BERGEPAINT,Unknown,2,BOSCHLTD,Unknown,0.9535
BERGEPAINT,Unknown,3,LT,Unknown,0.9517
BERGEPAINT,Unknown,4,HAVELLS,Unknown,0.933
BERGEPAINT,Unknown,5,TECHM,Unknown,0.8944
COLPAL,Unknown,1,INDIGO,Unknown,0.9729
COLPAL,Unknown,2,NESTLEIND,Unknown,0.9488
COLPAL,Unknown,3,MUTHOOTFIN,Unknown,0.9317
COLPAL,Unknown,4,TCS,Unknown,0.9073
COLPAL,Unknown,5,BRITANNIA,Unknown,0.8816
HAVELLS,Unknown,1,BPCL,Unknown,0.9899
HAVELLS,Unknown,2,BERGEPAINT,Unknown,0.933
